#    L    TT             EE             TE             PP             TP          
   203    0.55474E+04    0.65725E+00   -0.10069E+02    0.26885E+07    0.23464E+04
   204    0.55569E+04    0.65988E+00   -0.87206E+01    0.26751E+07    0.23274E+04
   205    0.55659E+04    0.66353E+00   -0.73520E+01    0.26619E+07    0.23086E+04
   206    0.55742E+04    0.66823E+00   -0.59641E+01    0.26488E+07    0.22900E+04
   207    0.55819E+04    0.67402E+00   -0.45575E+01    0.26357E+07    0.22714E+04
   208    0.55889E+04    0.68094E+00   -0.31326E+01    0.26228E+07    0.22530E+04
   209    0.55952E+04    0.68901E+00   -0.16900E+01    0.26099E+07    0.22347E+04
   210    0.56010E+04    0.69829E+00   -0.23041E+00    0.25972E+07    0.22165E+04
   211    0.56061E+04    0.70880E+00    0.12460E+01    0.25845E+07    0.21985E+04
   212    0.56105E+04    0.72057E+00    0.27382E+01    0.25720E+07    0.21806E+04
   213    0.56143E+04    0.73365E+00    0.42462E+01    0.25595E+07    0.21627E+04
   214    0.56175E+04    0.74804E+00    0.57689E+01    0.25471E+07    0.21451E+04
   215    0.56200E+04    0.76391E+00    0.73054E+01    0.25348E+07    0.21275E+04
   216    0.56219E+04    0.78109E+00    0.88563E+01    0.25227E+07    0.21101E+04
   217    0.56232E+04    0.79973E+00    0.10419E+02    0.25106E+07    0.20928E+04
   218    0.56238E+04    0.81983E+00    0.11995E+02    0.24986E+07    0.20756E+04
   219    0.56239E+04    0.84140E+00    0.13584E+02    0.24867E+07    0.20585E+04
   220    0.56233E+04    0.86457E+00    0.15182E+02    0.24748E+07    0.20415E+04
   221    0.56221E+04    0.88928E+00    0.16791E+02    0.24631E+07    0.20247E+04
   222    0.56203E+04    0.91567E+00    0.18410E+02    0.24515E+07    0.20080E+04
   223    0.56178E+04    0.94366E+00    0.20039E+02    0.24399E+07    0.19914E+04
   224    0.56148E+04    0.97326E+00    0.21675E+02    0.24284E+07    0.19749E+04
   225    0.56111E+04    0.10046E+01    0.23320E+02    0.24171E+07    0.19586E+04
   226    0.56068E+04    0.10377E+01    0.24971E+02    0.24058E+07    0.19424E+04
   227    0.56018E+04    0.10726E+01    0.26629E+02    0.23945E+07    0.19262E+04
   228    0.55963E+04    0.11092E+01    0.28293E+02    0.23834E+07    0.19102E+04
   229    0.55902E+04    0.11477E+01    0.29962E+02    0.23724E+07    0.18944E+04
   230    0.55834E+04    0.11879E+01    0.31635E+02    0.23614E+07    0.18786E+04
   231    0.55760E+04    0.12301E+01    0.33312E+02    0.23505E+07    0.18629E+04
   232    0.55680E+04    0.12741E+01    0.34992E+02    0.23397E+07    0.18474E+04
