#    L    TT             EE             BB             TE          
   383    0.17921E+04    0.20614E+02    0.41065E-01    0.25950E+02
   384    0.17823E+04    0.20642E+02    0.41190E-01    0.24046E+02
   385    0.17727E+04    0.20667E+02    0.41315E-01    0.22141E+02
   386    0.17637E+04    0.20689E+02    0.41441E-01    0.20238E+02
   387    0.17551E+04    0.20705E+02    0.41567E-01    0.18336E+02
   388    0.17469E+04    0.20719E+02    0.41694E-01    0.16436E+02
   389    0.17391E+04    0.20726E+02    0.41822E-01    0.14540E+02
   390    0.17318E+04    0.20732E+02    0.41950E-01    0.12649E+02
   391    0.17250E+04    0.20734E+02    0.42078E-01    0.10761E+02
   392    0.17185E+04    0.20733E+02    0.42208E-01    0.88797E+01
   393    0.17125E+04    0.20727E+02    0.42337E-01    0.70045E+01
