#    L    TT             EE             BB             TE          
   205    0.55660E+04    0.66370E+00    0.11838E-03   -0.73510E+01
   206    0.55742E+04    0.66841E+00    0.11813E-03   -0.59632E+01
   207    0.55820E+04    0.67419E+00    0.11795E-03   -0.45566E+01
   208    0.55889E+04    0.68111E+00    0.11782E-03   -0.31318E+01
   209    0.55953E+04    0.68918E+00    0.11775E-03   -0.16892E+01
   210    0.56010E+04    0.69845E+00    0.11774E-03   -0.22966E+00
   211    0.56062E+04    0.70896E+00    0.11777E-03    0.12467E+01
   212    0.56105E+04    0.72073E+00    0.11786E-03    0.27388E+01
   213    0.56144E+04    0.73381E+00    0.11800E-03    0.42468E+01
   214    0.56175E+04    0.74819E+00    0.11818E-03    0.57694E+01
   215    0.56201E+04    0.76407E+00    0.11840E-03    0.73059E+01
   216    0.56219E+04    0.78125E+00    0.11866E-03    0.88567E+01
   217    0.56233E+04    0.79989E+00    0.11896E-03    0.10420E+02
   218    0.56239E+04    0.81999E+00    0.11929E-03    0.11995E+02
   219    0.56239E+04    0.84155E+00    0.11966E-03    0.13584E+02
   220    0.56234E+04    0.86472E+00    0.12006E-03    0.15182E+02
   221    0.56222E+04    0.88943E+00    0.12048E-03    0.16791E+02
   222    0.56204E+04    0.91582E+00    0.12093E-03    0.18410E+02
   223    0.56178E+04    0.94381E+00    0.12140E-03    0.20039E+02
   224    0.56148E+04    0.97341E+00    0.12190E-03    0.21675E+02
   225    0.56111E+04    0.10048E+01    0.12240E-03    0.23320E+02
   226    0.56069E+04    0.10379E+01    0.12293E-03    0.24971E+02
   227    0.56019E+04    0.10727E+01    0.12347E-03    0.26629E+02
   228    0.55964E+04    0.11094E+01    0.12401E-03    0.28293E+02
   229    0.55903E+04    0.11478E+01    0.12457E-03    0.29961E+02
   230    0.55835E+04    0.11881E+01    0.12513E-03    0.31634E+02
   231    0.55760E+04    0.12303E+01    0.12569E-03    0.33312E+02
   232    0.55680E+04    0.12743E+01    0.12626E-03    0.34991E+02
   233    0.55594E+04    0.13203E+01    0.12682E-03    0.36672E+02
   234    0.55501E+04    0.13682E+01    0.12737E-03    0.38355E+02
   235    0.55402E+04    0.14182E+01    0.12792E-03    0.40038E+02
   236    0.55296E+04    0.14701E+01    0.12846E-03    0.41722E+02
   237    0.55185E+04    0.15240E+01    0.12899E-03    0.43404E+02
   238    0.55067E+04    0.15800E+01    0.12950E-03    0.45085E+02
   239    0.54944E+04    0.16381E+01    0.13000E-03    0.46764E+02
   240    0.54814E+04    0.16981E+01    0.13048E-03    0.48438E+02
   241    0.54679E+04    0.17604E+01    0.13093E-03    0.50110E+02
   242    0.54538E+04    0.18247E+01    0.13136E-03    0.51776E+02
   243    0.54391E+04    0.18912E+01    0.13177E-03    0.53437E+02
   244    0.54239E+04    0.19598E+01    0.13214E-03    0.55093E+02
   245    0.54080E+04    0.20306E+01    0.13248E-03    0.56740E+02
   246    0.53916E+04    0.21036E+01    0.13279E-03    0.58381E+02
   247    0.53746E+04    0.21787E+01    0.13306E-03    0.60013E+02
   248    0.53571E+04    0.22563E+01    0.13329E-03    0.61636E+02
   249    0.53391E+04    0.23359E+01    0.13348E-03    0.63249E+02
   250    0.53205E+04    0.24179E+01    0.13363E-03    0.64851E+02
   251    0.53015E+04    0.25020E+01    0.13373E-03    0.66442E+02
   252    0.52818E+04    0.25884E+01    0.13378E-03    0.68021E+02
   253    0.52618E+04    0.26769E+01    0.13379E-03    0.69587E+02
   254    0.52412E+04    0.27678E+01    0.13376E-03    0.71139E+02
   255    0.52201E+04    0.28609E+01    0.13368E-03    0.72678E+02
   256    0.51985E+04    0.29564E+01    0.13356E-03    0.74203E+02
   257    0.51765E+04    0.30539E+01    0.13340E-03    0.75707E+02
   258    0.51540E+04    0.31538E+01    0.13321E-03    0.77202E+02
   259    0.51310E+04    0.32559E+01    0.13297E-03    0.78672E+02
   260    0.51077E+04    0.33602E+01    0.13269E-03    0.80134E+02
   261    0.50838E+04    0.34668E+01    0.13238E-03    0.81565E+02
   262    0.50594E+04    0.35756E+01    0.13203E-03    0.82986E+02
   263    0.50349E+04    0.36867E+01    0.13165E-03    0.84391E+02
   264    0.50098E+04    0.37999E+01    0.13123E-03    0.85773E+02
   265    0.49842E+04    0.39153E+01    0.13078E-03    0.87123E+02
   266    0.49583E+04    0.40330E+01    0.13030E-03    0.88464E+02
   267    0.49319E+04    0.41528E+01    0.12979E-03    0.89774E+02
   268    0.49051E+04    0.42748E+01    0.12924E-03    0.91068E+02
   269    0.48778E+04    0.43990E+01    0.12867E-03    0.92338E+02
   270    0.48503E+04    0.45252E+01    0.12807E-03    0.93584E+02
   271    0.48223E+04    0.46535E+01    0.12745E-03    0.94806E+02
   272    0.47942E+04    0.47841E+01    0.12679E-03    0.95998E+02
   273    0.47656E+04    0.49165E+01    0.12612E-03    0.97173E+02
   274    0.47367E+04    0.50512E+01    0.12542E-03    0.98309E+02
   275    0.47074E+04    0.51877E+01    0.12469E-03    0.99429E+02
   276    0.46780E+04    0.53262E+01    0.12395E-03    0.10051E+03
   277    0.46481E+04    0.54668E+01    0.12318E-03    0.10158E+03
   278    0.46180E+04    0.56093E+01    0.12239E-03    0.10260E+03
   279    0.45876E+04    0.57537E+01    0.12159E-03    0.10360E+03
   280    0.45570E+04    0.58999E+01    0.12076E-03    0.10458E+03
   281    0.45262E+04    0.60481E+01    0.11992E-03    0.10552E+03
   282    0.44950E+04    0.61978E+01    0.11906E-03    0.10643E+03
   283    0.44636E+04    0.63495E+01    0.11819E-03    0.10731E+03
   284    0.44321E+04    0.65029E+01    0.11731E-03    0.10816E+03
   285    0.44003E+04    0.66581E+01    0.11641E-03    0.10897E+03
   286    0.43683E+04    0.68149E+01    0.11549E-03    0.10975E+03
   287    0.43360E+04    0.69734E+01    0.11457E-03    0.11051E+03
   288    0.43036E+04    0.71334E+01    0.11364E-03    0.11122E+03
   289    0.42711E+04    0.72950E+01    0.11270E-03    0.11191E+03
   290    0.42384E+04    0.74579E+01    0.11175E-03    0.11256E+03
   291    0.42055E+04    0.76230E+01    0.11079E-03    0.11317E+03
   292    0.41723E+04    0.77891E+01    0.10983E-03    0.11376E+03
   293    0.41392E+04    0.79558E+01    0.10886E-03    0.11430E+03
   294    0.41058E+04    0.81246E+01    0.10789E-03    0.11481E+03
   295    0.40726E+04    0.82941E+01    0.10691E-03    0.11528E+03
   296    0.40391E+04    0.84657E+01    0.10593E-03    0.11572E+03
   297    0.40055E+04    0.86371E+01    0.10495E-03    0.11613E+03
   298    0.39717E+04    0.88106E+01    0.10397E-03    0.11650E+03
   299    0.39380E+04    0.89855E+01    0.10299E-03    0.11682E+03
   300    0.39041E+04    0.91602E+01    0.10202E-03    0.11711E+03
   301    0.38702E+04    0.93363E+01    0.10104E-03    0.11736E+03
   302    0.38363E+04    0.95130E+01    0.10007E-03    0.11759E+03
   303    0.38024E+04    0.96910E+01    0.99104E-04    0.11776E+03
   304    0.37684E+04    0.98704E+01    0.98141E-04    0.11790E+03
   305    0.37345E+04    0.10050E+02    0.97181E-04    0.11800E+03
   306    0.37005E+04    0.10229E+02    0.96227E-04    0.11807E+03
   307    0.36665E+04    0.10410E+02    0.95278E-04    0.11808E+03
   308    0.36326E+04    0.10592E+02    0.94335E-04    0.11808E+03
   309    0.35987E+04    0.10774E+02    0.93398E-04    0.11802E+03
   310    0.35648E+04    0.10955E+02    0.92467E-04    0.11794E+03
   311    0.35311E+04    0.11139E+02    0.91544E-04    0.11780E+03
   312    0.34974E+04    0.11321E+02    0.90628E-04    0.11764E+03
   313    0.34637E+04    0.11504E+02    0.89719E-04    0.11743E+03
   314    0.34302E+04    0.11688E+02    0.88819E-04    0.11720E+03
   315    0.33967E+04    0.11871E+02    0.87928E-04    0.11691E+03
   316    0.33634E+04    0.12054E+02    0.87046E-04    0.11659E+03
   317    0.33301E+04    0.12237E+02    0.86174E-04    0.11624E+03
   318    0.32970E+04    0.12421E+02    0.85312E-04    0.11584E+03
   319    0.32640E+04    0.12604E+02    0.84460E-04    0.11541E+03
   320    0.32312E+04    0.12786E+02    0.83619E-04    0.11495E+03
   321    0.31985E+04    0.12969E+02    0.82789E-04    0.11444E+03
   322    0.31660E+04    0.13151E+02    0.81971E-04    0.11389E+03
   323    0.31337E+04    0.13332E+02    0.81166E-04    0.11331E+03
   324    0.31015E+04    0.13514E+02    0.80373E-04    0.11269E+03
   325    0.30696E+04    0.13693E+02    0.79593E-04    0.11204E+03
   326    0.30378E+04    0.13873E+02    0.78826E-04    0.11134E+03
   327    0.30062E+04    0.14053E+02    0.78074E-04    0.11061E+03
   328    0.29749E+04    0.14230E+02    0.77335E-04    0.10985E+03
   329    0.29438E+04    0.14407E+02    0.76612E-04    0.10904E+03
   330    0.29129E+04    0.14583E+02    0.75903E-04    0.10820E+03
   331    0.28823E+04    0.14758E+02    0.75211E-04    0.10733E+03
   332    0.28519E+04    0.14932E+02    0.74534E-04    0.10643E+03
   333    0.28218E+04    0.15105E+02    0.73874E-04    0.10550E+03
   334    0.27920E+04    0.15277E+02    0.73231E-04    0.10453E+03
   335    0.27623E+04    0.15446E+02    0.72605E-04    0.10352E+03
   336    0.27330E+04    0.15615E+02    0.71996E-04    0.10248E+03
   337    0.27040E+04    0.15782E+02    0.71407E-04    0.10140E+03
   338    0.26753E+04    0.15947E+02    0.70835E-04    0.10029E+03
   339    0.26469E+04    0.16112E+02    0.70283E-04    0.99153E+02
   340    0.26188E+04    0.16275E+02    0.69750E-04    0.97991E+02
   341    0.25910E+04    0.16435E+02    0.69237E-04    0.96786E+02
   342    0.25635E+04    0.16594E+02    0.68745E-04    0.95552E+02
   343    0.25364E+04    0.16751E+02    0.68273E-04    0.94290E+02
   344    0.25097E+04    0.16906E+02    0.67823E-04    0.92998E+02
   345    0.24832E+04    0.17058E+02    0.67394E-04    0.91678E+02
   346    0.24571E+04    0.17210E+02    0.66987E-04    0.90337E+02
   347    0.24313E+04    0.17358E+02    0.66603E-04    0.88960E+02
   348    0.24060E+04    0.17504E+02    0.66242E-04    0.87554E+02
   349    0.23809E+04    0.17648E+02    0.65904E-04    0.86120E+02
   350    0.23563E+04    0.17788E+02    0.65590E-04    0.84665E+02
   351    0.23322E+04    0.17928E+02    0.65299E-04    0.83181E+02
   352    0.23083E+04    0.18064E+02    0.65033E-04    0.81669E+02
   353    0.22848E+04    0.18198E+02    0.64789E-04    0.80144E+02
   354    0.22617E+04    0.18329E+02    0.64567E-04    0.78583E+02
   355    0.22390E+04    0.18457E+02    0.64367E-04    0.77002E+02
   356    0.22167E+04    0.18584E+02    0.64187E-04    0.75407E+02
   357    0.21948E+04    0.18707E+02    0.64027E-04    0.73783E+02
   358    0.21734E+04    0.18826E+02    0.63886E-04    0.72147E+02
   359    0.21523E+04    0.18942E+02    0.63763E-04    0.70482E+02
   360    0.21317E+04    0.19057E+02    0.63658E-04    0.68801E+02
   361    0.21115E+04    0.19168E+02    0.63570E-04    0.67098E+02
   362    0.20917E+04    0.19276E+02    0.63498E-04    0.65377E+02
   363    0.20723E+04    0.19381E+02    0.63442E-04    0.63640E+02
   364    0.20534E+04    0.19482E+02    0.63401E-04    0.61883E+02
   365    0.20349E+04    0.19581E+02    0.63373E-04    0.60112E+02
   366    0.20168E+04    0.19676E+02    0.63359E-04    0.58324E+02
   367    0.19992E+04    0.19767E+02    0.63357E-04    0.56522E+02
   368    0.19819E+04    0.19855E+02    0.63367E-04    0.54707E+02
   369    0.19653E+04    0.19941E+02    0.63388E-04    0.52877E+02
   370    0.19490E+04    0.20022E+02    0.63420E-04    0.51037E+02
   371    0.19331E+04    0.20100E+02    0.63461E-04    0.49184E+02
   372    0.19176E+04    0.20175E+02    0.63511E-04    0.47321E+02
   373    0.19026E+04    0.20245E+02    0.63570E-04    0.45446E+02
   374    0.18881E+04    0.20313E+02    0.63635E-04    0.43563E+02
   375    0.18740E+04    0.20377E+02    0.63708E-04    0.41672E+02
   376    0.18603E+04    0.20438E+02    0.63786E-04    0.39772E+02
   377    0.18472E+04    0.20494E+02    0.63870E-04    0.37867E+02
   378    0.18344E+04    0.20546E+02    0.63958E-04    0.35954E+02
   379    0.18221E+04    0.20596E+02    0.64050E-04    0.34037E+02
   380    0.18103E+04    0.20642E+02    0.64146E-04    0.32114E+02
   381    0.17989E+04    0.20682E+02    0.64243E-04    0.30189E+02
   382    0.17879E+04    0.20720E+02    0.64342E-04    0.28261E+02
   383    0.17774E+04    0.20754E+02    0.64442E-04    0.26330E+02
   384    0.17674E+04    0.20783E+02    0.64542E-04    0.24399E+02
   385    0.17577E+04    0.20809E+02    0.64642E-04    0.22466E+02
   386    0.17486E+04    0.20832E+02    0.64740E-04    0.20535E+02
   387    0.17398E+04    0.20850E+02    0.64836E-04    0.18605E+02
   388    0.17315E+04    0.20864E+02    0.64930E-04    0.16677E+02
   389    0.17236E+04    0.20872E+02    0.65020E-04    0.14751E+02
   390    0.17162E+04    0.20879E+02    0.65106E-04    0.12831E+02
   391    0.17092E+04    0.20881E+02    0.65186E-04    0.10914E+02
   392    0.17026E+04    0.20881E+02    0.65261E-04    0.90029E+01
   393    0.16966E+04    0.20876E+02    0.65330E-04    0.70978E+01
   394    0.16909E+04    0.20867E+02    0.65392E-04    0.52006E+01
