#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   151    0.43736E+04   -0.45944E+02    0.14195E-05   -0.45944E+02    0.10799E+01   -0.71239E-08    0.14195E-05   -0.71239E-08    0.33586E-11
   152    0.44053E+04   -0.45929E+02    0.13972E-05   -0.45929E+02    0.10738E+01   -0.70278E-08    0.13972E-05   -0.70278E-08    0.32955E-11
   153    0.44368E+04   -0.45887E+02    0.13754E-05   -0.45887E+02    0.10673E+01   -0.69289E-08    0.13754E-05   -0.69289E-08    0.32339E-11
   154    0.44680E+04   -0.45821E+02    0.13540E-05   -0.45821E+02    0.10605E+01   -0.68272E-08    0.13540E-05   -0.68272E-08    0.31737E-11
   155    0.44990E+04   -0.45730E+02    0.13330E-05   -0.45730E+02    0.10533E+01   -0.67231E-08    0.13330E-05   -0.67231E-08    0.31149E-11
   156    0.45297E+04   -0.45614E+02    0.13124E-05   -0.45614E+02    0.10457E+01   -0.66166E-08    0.13124E-05   -0.66166E-08    0.30575E-11
   157    0.45603E+04   -0.45471E+02    0.12922E-05   -0.45471E+02    0.10377E+01   -0.65079E-08    0.12922E-05   -0.65079E-08    0.30014E-11
   158    0.45905E+04   -0.45302E+02    0.12724E-05   -0.45302E+02    0.10294E+01   -0.63973E-08    0.12724E-05   -0.63973E-08    0.29467E-11
   159    0.46205E+04   -0.45108E+02    0.12530E-05   -0.45108E+02    0.10207E+01   -0.62848E-08    0.12530E-05   -0.62848E-08    0.28932E-11
   160    0.46502E+04   -0.44886E+02    0.12340E-05   -0.44886E+02    0.10117E+01   -0.61708E-08    0.12340E-05   -0.61708E-08    0.28410E-11
   161    0.46797E+04   -0.44638E+02    0.12153E-05   -0.44638E+02    0.10025E+01   -0.60553E-08    0.12153E-05   -0.60553E-08    0.27899E-11
   162    0.47089E+04   -0.44365E+02    0.11971E-05   -0.44365E+02    0.99294E+00   -0.59385E-08    0.11971E-05   -0.59385E-08    0.27401E-11
